date,ca_5yr_bond_yield
2005-01-01,4.69
2005-02-01,4.71
2005-03-01,4.75
2005-04-01,4.55
2005-05-01,4.41
2005-06-01,4.27
2005-07-01,4.31
2005-08-01,4.11
2005-09-01,4.21
2005-10-01,4.38
2005-11-01,4.2
2005-12-01,4.04
2006-01-01,4.22
2006-02-01,4.17
2006-03-01,4.26
2006-04-01,4.59
2006-05-01,4.51
2006-06-01,4.69
2006-07-01,4.46
2006-08-01,4.22
2006-09-01,4.08
2006-10-01,4.25
2006-11-01,4.03
2006-12-01,4.11
2007-01-01,4.23
2007-02-01,4.1
2007-03-01,4.21
2007-04-01,4.21
2007-05-01,4.43
2007-06-01,4.59
2007-07-01,4.52
2007-08-01,4.44
2007-09-01,4.5
2007-10-01,4.39
2007-11-01,4.22
2007-12-01,4.18
2008-01-01,4.17
2008-02-01,4.14
2008-03-01,3.91
2008-04-01,4.02
2008-05-01,4.07
2008-06-01,4.07
2008-07-01,4.18
2008-08-01,4.02
2008-09-01,4.14
2008-10-01,4.31
2008-11-01,4.0
2008-12-01,3.45
2009-01-01,3.74
2009-02-01,3.7
2009-03-01,3.63
2009-04-01,3.72
2009-05-01,4.11
2009-06-01,3.96
2009-07-01,4.1
2009-08-01,3.96
2009-09-01,3.87
2009-10-01,3.98
2009-11-01,3.84
2009-12-01,4.08
2010-01-01,3.92
2010-02-01,3.98
2010-03-01,3.99
2010-04-01,3.99
2010-05-01,3.58
2010-06-01,3.59
2010-07-01,3.71
2010-08-01,3.39
2010-09-01,3.25
2010-10-01,3.38
2010-11-01,3.6
2010-12-01,3.51
2011-01-01,3.71
2011-02-01,3.69
2011-03-01,3.66
2011-04-01,3.67
2011-05-01,3.41
2011-06-01,3.47
2011-07-01,3.28
2011-08-01,3.0
2011-09-01,2.74
2011-10-01,2.91
2011-11-01,2.61
2011-12-01,2.42
2012-01-01,2.55
2012-02-01,2.48
2012-03-01,2.56
2012-04-01,2.55
2012-05-01,2.2
2012-06-01,2.24
2012-07-01,2.14
2012-08-01,2.28
2012-09-01,2.24
2012-10-01,2.27
2012-11-01,2.2
2012-12-01,2.27
2013-01-01,2.47
2013-02-01,2.39
2013-03-01,2.34
2013-04-01,2.19
2013-05-01,2.48
2013-06-01,2.9
2013-07-01,2.88
2013-08-01,3.0
2013-09-01,3.0
2013-10-01,2.87
2013-11-01,3.01
2013-12-01,3.09
2014-01-01,2.8
2014-02-01,2.8
2014-03-01,2.82
2014-04-01,2.76
2014-05-01,2.6
2014-06-01,2.72
2014-07-01,2.59
2014-08-01,2.44
2014-09-01,2.61
2014-10-01,2.46
2014-11-01,2.36
2014-12-01,2.22
2015-01-01,1.75
2015-02-01,1.76
2015-03-01,1.79
2015-04-01,2.01
2015-05-01,2.08
2015-06-01,2.29
2015-07-01,2.09
2015-08-01,2.08
2015-09-01,2.09
2015-10-01,2.13
2015-11-01,2.17
2015-12-01,2.04
2016-01-01,1.9
2016-02-01,1.78
2016-03-01,1.86
2016-04-01,1.94
2016-05-01,1.87
2016-06-01,1.67
2016-07-01,1.6
2016-08-01,1.53
2016-09-01,1.52
2016-10-01,1.68
2016-11-01,2.06
2016-12-01,2.24
2017-01-01,2.34
2017-02-01,2.29
2017-03-01,2.14
2017-04-01,2.01
2017-05-01,1.87
2017-06-01,1.99
2017-07-01,2.29
2017-08-01,2.19
2017-09-01,2.42
2017-10-01,2.32
2017-11-01,2.16
2017-12-01,2.15
2018-01-01,2.35
2018-02-01,2.35
2018-03-01,2.22
2018-04-01,2.45
2018-05-01,2.28
2018-06-01,2.15
2018-07-01,2.31
2018-08-01,2.33
2018-09-01,2.43
2018-10-01,2.52
2018-11-01,2.39
2018-12-01,2.12
2019-01-01,2.11
2019-02-01,2.1
2019-03-01,1.76
2019-04-01,1.9
2019-05-01,1.75
2019-06-01,1.7
2019-07-01,1.67
2019-08-01,1.34
2019-09-01,1.54
2019-10-01,1.6
2019-11-01,1.57
2019-12-01,1.67
2020-01-01,1.42
2020-02-01,1.32
2020-03-01,1.25
2020-04-01,0.99
2020-05-01,0.92
2020-06-01,0.95
2020-07-01,0.86
2020-08-01,1.01
2020-09-01,0.99
2020-10-01,1.01
2020-11-01,1.06
2020-12-01,1.13
2021-01-01,1.32
2021-02-01,1.77
2021-03-01,1.9
2021-04-01,1.96
2021-05-01,1.91
2021-06-01,1.77
2021-07-01,1.64
2021-08-01,1.73
2021-09-01,1.92
2021-10-01,1.88
2021-11-01,2.03
2021-12-01,1.75
2022-01-01,2.07
2022-02-01,2.24
2022-03-01,2.45
2022-04-01,2.82
2022-05-01,2.8
2022-06-01,3.24
2022-07-01,2.85
2022-08-01,3.06
2022-09-01,3.03
2022-10-01,3.43
2022-11-01,3.02
2022-12-01,3.31
2023-01-01,2.92
2023-02-01,3.34
2023-03-01,3.06
2023-04-01,2.98
2023-05-01,3.18
2023-06-01,3.15
2023-07-01,3.34
2023-08-01,3.46
2023-09-01,3.93
2023-10-01,3.96
2023-11-01,3.39
2023-12-01,3.0
2024-01-01,3.31
2024-02-01,3.36
2024-03-01,3.38
2024-04-01,3.73
2024-05-01,3.65
2024-06-01,3.39
2024-07-01,3.23
2024-08-01,3.18
2024-09-01,3.17
2024-10-01,3.33
2024-11-01,3.26
2024-12-01,3.36
2025-01-01,3.32
2025-02-01,3.15
2025-03-01,3.32
2025-04-01,3.36
2025-05-01,3.48
2025-06-01,3.6
2025-07-01,3.77
2025-08-01,3.82
2025-09-01,3.59
2025-10-01,3.51
2025-11-01,3.49
2025-12-01,3.8
2026-01-01,3.81
2026-02-01,3.62
