roll_year,assessment_date,avg_assessed_value,property_count
2005,2005-01-01,244908.0,331928
2006,2006-01-01,267775.0,344981
2007,2007-01-01,386450.0,356552
2008,2008-01-01,480304.0,369116
2009,2009-01-01,459267.0,382996
2010,2010-01-01,402069.0,387831
2011,2011-01-01,435094.0,395585
2012,2012-01-01,424324.0,397436
2013,2013-01-01,436916.0,408394
2014,2014-01-01,465749.0,296501
2015,2015-01-01,512324.0,424958
2016,2016-01-01,507382.0,435896
2017,2017-01-01,484052.0,445650
2018,2018-01-01,494031.0,454281
2019,2019-01-01,488024.0,462874
2020,2020-01-01,471042.0,472535
2021,2021-01-01,460983.0,479854
2022,2022-01-01,491265.0,469723
2023,2023-01-01,551567.0,477583
2024,2024-01-01,609420.0,488978
2025,2025-01-01,697769.0,500713
